Title,Actors,Description
Diary of a Wimpy Kid,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn","The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
The Big Short,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt","Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
Room,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",A young boy is raised within the confines of a small shed.
Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Ah-ga-ssi,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
The Edge of Seventeen,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick","High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
Watchmen,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
Superbad,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Inferno,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
The BFG,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
The Hunger Games,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
White Girl,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez","Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back."
Sicario,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Twin Peaks: The Missing Pieces,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.
Aliens vs Predator - Requiem,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival."
Pacific Rim,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
"Crazy, Stupid, Love.","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
Scott Pilgrim vs. the World,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
Hot Fuzz,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy","Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents."
Mine,"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer","After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions."
Free Fire,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival."
X-Men: Days of Future Past,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Jack Reacher: Never Go Back,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper","Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
Casino Royale,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
Twilight,"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke",A teenage girl risks everything when she falls in love with a vampire.
Now You See Me 2,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.
Woman in Gold,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes","Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family."
13 Hours,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
Nightcrawler,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
Kubo and the Two Strings,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Beyond the Gates,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",Two estranged brothers reunite at their missing father's video store and find a VCR board game dubbed 'Beyond The Gates' that holds a connection to their father's disappearance.
Her,"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara",A lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
Frozen,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Tomorrowland,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
Dawn of the Planet of the Apes,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
Tropic Thunder,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
The Conjuring 2,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.
Ant-Man,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
Bridget Jones's Baby,"Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips","Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father."
The VVitch: A New-England Folktale,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
Cinderella,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter","When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
Realive,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward","Marc (Tom Hughes) is diagnosed with a disease and is given one year left to live. Unable to accept his own end, he decides to freeze his body. Sixty years later, in the year 2084, he ... See full summary »"
Forushande,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini","While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
Love,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
